player_id,player,team,average_z_score,matches_played,primary_position,simplified_position,detailed_position,position_frequency,matches_with_position_data,num_positions_played,all_positions,is_versatile
30854.0,Vanessa Brigitte Gilles,Canada Women's,1.2285828584012437,3,Left Center Back,Defender,Fullback/Wing-Back,3/5,3,3,"Left Center Back, Left Center Forward, Right Center Back",True
53993.0,Roselord Borgella,Haiti Women's,1.2118259710881902,3,Center Forward,Forward,Forward,2/5,3,4,"Left Defensive Midfield, Center Attacking Midfield, Center Forward, Right Center Forward",True
32054.0,Jéssica da Silva,Portugal Women's,1.2112750697808188,3,Right Center Forward,Forward,Forward,4/5,3,2,"Right Center Forward, Left Center Forward",True
31629.0,Anissa Lahmari,Morocco Women's,1.204904934249564,3,Right Center Forward,Forward,Forward,1/3,3,3,"Right Center Forward, Center Attacking Midfield, Left Center Forward",True
4638.0,Drew Spence,Jamaica Women's,1.2014361700065763,4,Right Defensive Midfield,Midfielder,Defensive Midfielder,2/5,4,4,"Right Defensive Midfield, Left Defensive Midfield, Left Center Midfield, Right Center Midfield",True
41010.0,Kayla McCoy,Jamaica Women's,1.2011653230255843,1,Center Forward,Forward,Forward,1/1,1,1,Center Forward,False
4961.0,Samantha May Kerr,Australia Women's,1.2007266312672638,4,Center Forward,Forward,Forward,3/8,4,4,"Center Forward, Right Center Forward, Left Center Forward, Right Midfield",True
10151.0,Jennifer Hermoso Fuentes,Spain Women's,1.1970772949558257,7,Left Center Midfield,Midfielder,Central Midfielder,6/15,7,3,"Left Center Midfield, Center Forward, Center Attacking Midfield",True
403278.0,María Catalina Usme Pineda,Colombia Women's,1.1788578535986374,5,Center Attacking Midfield,Midfielder,Attacking Midfielder,6/18,5,4,"Center Attacking Midfield, Left Defensive Midfield, Center Forward, Right Wing",True
4659.0,Ramona Bachmann,Switzerland Women's,1.174316770488136,4,Left Wing,Forward,Winger,2/7,4,6,"Center Forward, Left Center Midfield, Left Attacking Midfield, Left Wing, Right Wing, Center Attacking Midfield",True
11338.0,Caitlin Jade Foord,Australia Women's,1.1649537277622504,7,Left Midfield,Midfielder,Central Midfielder,5/11,7,5,"Left Center Forward, Left Midfield, Left Wing, Center Forward, Right Attacking Midfield",True
401733.0,Sarina Isabel Calpo Bolden,Philippines Women's,1.1595192390949067,3,Right Center Forward,Forward,Forward,3/4,3,2,"Right Center Forward, Left Center Forward",True
25612.0,Jessie Alexandra Fleming,Canada Women's,1.1556262290791697,2,Center Attacking Midfield,Midfielder,Attacking Midfielder,2/3,2,2,"Center Attacking Midfield, Left Defensive Midfield",True
34483.0,Priscila Chinchilla,Costa Rica Women's,1.135125285157226,3,Center Forward,Forward,Forward,2/6,3,4,"Center Forward, Left Midfield, Left Wing, Right Wing",True
105708.0,Kerolin Nicoli Israel Ferraz,Brazil Women's,1.130492363819349,3,Right Defensive Midfield,Midfielder,Defensive Midfielder,3/5,3,3,"Right Defensive Midfield, Left Center Midfield, Left Defensive Midfield",True
10121.0,Eugénie Le Sommer,France Women's,1.1269360891533458,4,Left Center Forward,Forward,Forward,4/6,4,3,"Left Center Forward, Right Center Forward, Center Attacking Midfield",True
35693.0,Mary Boio Fowler,Australia Women's,1.1200578167495088,6,Left Center Forward,Forward,Forward,3/10,6,6,"Center Attacking Midfield, Left Center Midfield, Left Center Forward, Right Center Forward, Left Defensive Midfield, Center Forward",True
10385.0,Ada Stolsmo Hegerberg,Norway Women's,1.116709928505477,2,Left Back,Defender,Fullback/Wing-Back,1/3,2,3,"Left Back, Left Center Forward, Center Forward",True
10159.0,Diana Micaela Abreu de Sousa e Silva,Portugal Women's,1.114296091029003,2,Left Center Forward,Forward,Forward,4/5,2,2,"Left Center Forward, Center Attacking Midfield",True
49172.0,Sophia Olivia Smith,United States Women's,1.108677688177604,4,Left Wing,Forward,Winger,4/6,4,2,"Left Wing, Center Forward",True
25482.0,Jiahui Lou,China PR Women's,1.1053302375192084,3,Right Center Forward,Forward,Forward,2/5,3,3,"Center Forward, Right Center Forward, Left Center Forward",True
24706.0,Sophie Roman Haug,Norway Women's,1.088313158309654,3,Center Forward,Forward,Forward,3/4,3,2,"Center Forward, Right Center Forward",True
10514.0,Guro Reiten,Norway Women's,1.0863429747418367,4,Left Center Midfield,Midfielder,Central Midfielder,4/6,4,3,"Left Center Midfield, Left Back, Left Midfield",True
131631.0,Evarine Susan Katongo,Zambia Women's,1.0847648066862436,3,Left Center Midfield,Midfielder,Central Midfielder,2/4,3,3,"Left Center Midfield, Right Defensive Midfield, Center Attacking Midfield",True
32355.0,Felicitas Rauch,Germany Women's,1.0810883020661546,1,Left Back,Defender,Fullback/Wing-Back,1/1,1,1,Left Back,False
10167.0,Tatiana Vanessa Ferreira Pinto,Portugal Women's,1.0530340886535403,3,Right Center Midfield,Midfielder,Central Midfielder,2/6,3,5,"Left Defensive Midfield, Right Defensive Midfield, Right Wing Back, Right Center Midfield, Left Center Midfield",True
5053.0,Linda Maserame Motlhalo,South Africa Women's,1.035104841713372,4,Center Attacking Midfield,Midfielder,Attacking Midfielder,2/6,4,5,"Left Defensive Midfield, Right Defensive Midfield, Center Attacking Midfield, Right Center Forward, Right Center Midfield",True
30958.0,Melissa Herrera Monge,Costa Rica Women's,1.0295978801005872,3,Right Midfield,Midfielder,Central Midfielder,2/5,3,3,"Right Midfield, Right Wing, Left Wing",True
10137.0,Kadidiatou Diani,France Women's,1.0278089904436631,5,Center Forward,Forward,Forward,3/6,5,3,"Right Center Forward, Center Forward, Left Center Forward",True
25538.0,Jody Brown,Jamaica Women's,1.0239269064225316,4,Left Midfield,Midfielder,Central Midfielder,4/7,4,4,"Left Midfield, Right Midfield, Center Attacking Midfield, Left Wing",True
15620.0,Katie McCabe,Republic of Ireland Women's,1.0218408303394213,3,Left Wing Back,Defender,Fullback/Wing-Back,4/7,3,4,"Left Wing Back, Left Center Forward, Left Wing, Left Midfield",True
402655.0,Sakina Ouzraoui Diki,Morocco Women's,1.0060040828344,4,Right Midfield,Midfielder,Central Midfielder,4/5,4,2,"Right Midfield, Left Midfield",True
25511.0,Jermaine Seoposenwe,South Africa Women's,1.0015574916450642,4,Right Wing,Forward,Winger,4/12,4,4,"Center Attacking Midfield, Right Wing, Left Wing, Right Midfield",True
25453.0,Geum-Min Lee,Korea Republic Women's,0.9747857990143284,2,Right Center Midfield,Midfielder,Central Midfielder,2/5,2,4,"Right Center Midfield, Center Forward, Center Attacking Midfield, Right Defensive Midfield",True
25632.0,Yui Hasegawa,Japan Women's,0.9744993350420256,5,Right Defensive Midfield,Midfielder,Defensive Midfielder,4/8,5,2,"Right Defensive Midfield, Left Defensive Midfield",True
135571.0,Chiara Beccari,Italy Women's,0.9652843189045536,3,Center Forward,Forward,Forward,2/8,3,5,"Center Forward, Right Center Forward, Left Wing, Right Wing, Right Midfield",True
46830.0,Batcheba Louis,Haiti Women's,0.9405710665397928,3,Right Wing,Forward,Winger,2/3,3,2,"Left Wing, Right Wing",True
62666.0,Ingrid Filippa Angeldal,Sweden Women's,0.9311679360329383,6,Right Defensive Midfield,Midfielder,Defensive Midfielder,6/7,6,2,"Right Defensive Midfield, Left Defensive Midfield",True
50153.0,Rocío Gálvez Luna,Spain Women's,0.9290656985361152,1,Left Center Back,Defender,Fullback/Wing-Back,1/1,1,1,Left Center Back,False
402019.0,Chengshu Wu,China PR Women's,0.925949091023756,3,Right Midfield,Midfielder,Central Midfielder,2/5,3,4,"Right Wing, Right Midfield, Left Center Forward, Right Center Forward",True
370851.0,Sophie Wais Braun,Argentina Women's,0.9222913612377388,3,Right Back,Defender,Fullback/Wing-Back,2/5,3,3,"Right Back, Center Defensive Midfield, Right Defensive Midfield",True
402793.0,Katherine Lineth Castillo Macías,Panama Women's,0.9155861912055532,2,Right Back,Defender,Fullback/Wing-Back,2/3,2,2,"Right Wing Back, Right Back",True
25602.0,Mariana Valeria Larroquette,Argentina Women's,0.8540909402281769,3,Center Forward,Forward,Forward,5/6,3,2,"Right Wing, Center Forward",True
26091.0,Jordyn Pamela Huitema,Canada Women's,0.8516090692302992,3,Left Wing,Forward,Winger,4/6,3,3,"Center Forward, Left Wing, Center Attacking Midfield",True
131814.0,Shiori Miyake,Japan Women's,0.8470330283115599,1,Right Center Back,Defender,Fullback/Wing-Back,1/1,1,1,Right Center Back,False
10215.0,Fridolina Rolfö,Sweden Women's,0.8405015710630305,6,Left Wing,Forward,Winger,5/9,6,4,"Left Wing, Center Attacking Midfield, Right Center Midfield, Left Attacking Midfield",True
26093.0,Gun Nathalie Björn,Sweden Women's,0.838877710291991,6,Right Back,Defender,Fullback/Wing-Back,6/9,6,4,"Right Back, Right Wing Back, Left Defensive Midfield, Right Center Back",True
22798.0,So-Hyun Cho,Korea Republic Women's,0.8361079803333465,3,Right Defensive Midfield,Midfielder,Defensive Midfielder,3/8,3,5,"Right Center Midfield, Right Defensive Midfield, Left Center Midfield, Center Defensive Midfield, Right Center Back",True
10161.0,María Francesca Caldentey Oliver,Spain Women's,0.8342493546467261,6,Left Wing,Forward,Winger,7/9,6,2,"Left Wing, Right Wing",True
